txId,status,ok,req_start,resp_end,e2e_s,db_ts
c8d4d078-b775-467d-b30b-c914e89f85fc,202,True,1758679264.7552495,1758679264.7677171,46.02708888053894,2025-09-24 02:01:04.767057+00:00
e4ea98f5-ac5f-4cf9-97e9-da66b941befb,202,True,1758679265.7555404,1758679265.7631116,45.02679800987244,2025-09-24 02:01:05.761744+00:00
8e080559-07f1-4d94-8313-e0438a295b8a,202,True,1758679265.7566807,1758679265.7636037,45.025657653808594,2025-09-24 02:01:05.761744+00:00
b9fa3443-d59c-4331-9be1-4d80837952bd,202,True,1758679265.7586021,1758679265.7643476,45.023736238479614,2025-09-24 02:01:05.762745+00:00
29b4bdef-b46e-4808-accb-71706d17b911,202,True,1758679265.7597764,1758679265.764895,45.02256202697754,2025-09-24 02:01:05.763639+00:00
a3a94d8c-27d5-4c36-b676-23a4e4b8c63e,202,True,1758679265.7581098,1758679265.7655263,45.02422857284546,2025-09-24 02:01:05.764256+00:00
ae9d9db6-77fe-425f-b88d-27eb5b951d48,202,True,1758679265.7574365,1758679265.7660809,45.02490186691284,2025-09-24 02:01:05.764256+00:00
561182e0-486e-4fc4-a4dc-6748936fe5cd,202,True,1758679265.7603285,1758679265.766606,45.02200984954834,2025-09-24 02:01:05.765256+00:00
b6f792cb-524f-4a4e-80a8-96fa14350c52,202,True,1758679265.759102,1758679265.7670078,45.02323627471924,2025-09-24 02:01:05.765256+00:00
8e36bb30-47f4-46d3-ba15-237a6090dd97,202,True,1758679265.7594607,1758679265.7674427,45.02287769317627,2025-09-24 02:01:05.766256+00:00
47929ecb-69d9-40c1-8833-83bd4526974b,202,True,1758679265.7600744,1758679265.767711,45.02226400375366,2025-09-24 02:01:05.766256+00:00
896415b0-a1f8-42c0-80be-8037ad2eb02d,202,True,1758679266.7586975,1758679266.7657099,44.023640871047974,2025-09-24 02:01:06.763134+00:00
57899ef5-e1e6-4185-ade9-3f1ca763280a,202,True,1758679266.7593546,1758679266.766509,44.02298378944397,2025-09-24 02:01:06.764147+00:00
ea179647-ac3d-4d31-aa17-1f0dec2d231c,202,True,1758679266.7604887,1758679266.768162,44.021849632263184,2025-09-24 02:01:06.765485+00:00
9e9958e4-4b4a-4ed1-9420-6773abaf7a72,202,True,1758679266.7613585,1758679266.7697058,44.02097988128662,2025-09-24 02:01:06.766137+00:00
31699414-9452-4865-9fa1-901b08d5f393,202,True,1758679266.7617013,1758679266.7710803,44.02063703536987,2025-09-24 02:01:06.767642+00:00
41793cc1-a0da-4b4e-bfec-476ca3efa9a5,202,True,1758679266.7598646,1758679266.7715816,44.02247381210327,2025-09-24 02:01:06.768652+00:00
1e8abc56-15e2-4199-8993-39b9f4851d14,202,True,1758679266.7615323,1758679266.7717676,44.020806074142456,2025-09-24 02:01:06.769157+00:00
